date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-08,149.03,153.7,149.03,153.01,48752413,48752413,4.05,2.719,151.9913,"May 8, 17",1.1219000442380311
2017-05-09,153.87,154.88,153.45,153.99,39130363,39130363,0.98,0.64,154.1185,"May 9, 17",1.1354904111640707
2017-05-10,153.63,153.94,152.11,153.26,25805692,25805692,-0.73,-0.474,153.0783,"May 10, 17",1.1253669745763064
2017-05-11,152.45,154.07,152.31,153.95,27255058,27255058,0.69,0.45,153.1906,"May 11, 17",1.1349357023099462
2017-05-12,154.7,156.42,154.67,156.1,32527017,32527017,2.15,1.397,155.8446,"May 12, 17",1.1647513032191141
2017-05-15,156.01,156.65,155.05,155.7,26009719,26009719,-0.4,-0.256,155.5889,"May 15, 17",1.1592042146778736
2017-05-16,155.94,156.06,154.72,155.47,20048478,20048478,-0.23,-0.148,155.3078,"May 16, 17",1.1560146387666603
2017-05-17,153.6,154.57,149.71,150.25,50767678,50767678,-5.22,-3.358,151.5156,"May 17, 17",1.0836251333034717
2017-05-18,151.27,153.34,151.13,152.54,33568215,33568215,2.29,1.524,152.4579,"May 18, 17",1.1153822152020736
2017-05-19,153.38,153.98,152.63,153.06,26960788,26960788,0.52,0.341,153.319,"May 19, 17",1.1225934303056864
2017-05-22,154,154.58,152.91,153.99,22966437,22966437,0.93,0.608,153.7619,"May 22, 17",1.1354904111640707
2017-05-23,154.9,154.9,153.31,153.8,19918871,19918871,-0.19,-0.123,153.8316,"May 23, 17",1.1328555441069814
2017-05-24,153.84,154.17,152.67,153.34,19219154,19219154,-0.46,-0.299,153.2569,"May 24, 17",1.1264763922845547
2017-05-25,153.73,154.35,153.03,153.87,19235598,19235598,0.53,0.346,153.7946,"May 25, 17",1.1338262846016984
2017-05-26,154,154.24,153.31,153.61,21927637,21927637,-0.26,-0.169,153.6793,"May 26, 17",1.1302206770498922
2017-05-30,153.42,154.43,153.33,153.67,20126851,20126851,0.06,0.039,153.8482,"May 30, 17",1.131052740331078
2017-05-31,153.97,154.17,152.38,152.76,24451164,24451164,-0.91,-0.592,152.9311,"May 31, 17",1.1184331138997559
2017-06-01,153.17,153.33,152.22,153.18,16404088,16404088,0.42,0.275,152.884,"Jun 1, 17",1.1242575568680586
